	sgRNA	CHROM-24h-IBET-LIB-R2_S3_R1_001	CHROM-24h-IBET-SORT-R2_S4_R1_001	CHROM-48h-IBET-LIB-R2_S15_R1_001	CHROM-48h-IBET-SORT-R2_S16_R1_001	R1-BETi-24h_S10_R1_001	R1-BETi-48h_S20_R1_001	R1-BETi-LIB-24h_S9_R1_001	R1-BETi-LIB-48h_S18_R1_001
1	*	689501	374168	955039	392584	102617	126307	97445	135182
2	38412_ENSG00000198060_19285.1	817	496	1236	0	852	208	569	708
3	38412_ENSG00000198060_19286.2	430	0	692	0	538	0	313	299
4	38412_ENSG00000198060_19287.3	574	651	1350	711	1231	325	350	518
5	38412_ENSG00000198060_19288.4	1255	979	1957	1215	249	333	1259	1262
6	38412_ENSG00000198060_19289.5	867	159	1708	688	576	1004	871	853
7	38412_ENSG00000198060_19290.6	1066	813	2134	1069	279	1406	1313	1274
8	AC003002.4_ENSG00000268133_199914.1	182	136	288	0	0	0	99	142
9	AC003002.4_ENSG00000268133_199915.2	1359	646	2761	559	602	1704	749	1210
10	AC003002.4_ENSG00000268133_199916.3	1424	1507	2502	1193	150	301	1006	1597
11	AC003002.4_ENSG00000268133_199917.4	318	168	505	0	0	173	167	228
12	AC003002.4_ENSG00000268133_199919.6	980	914	1769	320	595	1025	475	997
13	AC003005.4_ENSG00000268107_84113.5	1781	531	2801	1101	607	1404	1275	1532
14	AC003005.4_ENSG00000268107_84114.6	292	0	684	263	1058	0	101	217
15	AC003005.4_ENSG00000268107_84115.7	886	319	1355	325	1622	0	734	732
16	AC003005.4_ENSG00000268107_84116.8	545	431	816	1232	591	609	229	455
17	AC003005.4_ENSG00000268107_84117.9	953	750	1763	1267	1194	1186	537	767
18	AC003005.4_ENSG00000268107_84118.1	674	668	1195	313	1500	279	525	667
19	AC004076.9_ENSG00000268163_52397.1	728	296	1298	553	0	860	371	609
20	AC004076.9_ENSG00000268163_52398.2	452	549	1239	901	445	326	353	555
21	AC004076.9_ENSG00000268163_52399.3	1148	601	2697	591	1100	932	1302	1312
22	AC004076.9_ENSG00000268163_52400.4	370	0	934	643	0	301	225	415
23	AC004076.9_ENSG00000268163_52401.5	512	176	945	711	901	0	178	377
24	AC004076.9_ENSG00000268163_52402.6	550	0	1074	0	897	0	452	555
25	ACIN1_ENSG00000100813_113140.1	1393	407	2603	712	157	727	1043	1271
26	ACIN1_ENSG00000100813_113141.2	342	174	967	0	537	0	247	308
27	ACIN1_ENSG00000100813_113142.3	259	0	455	0	0	0	68	135
28	ACIN1_ENSG00000100813_113143.4	1141	0	2025	674	1085	612	625	1108
