	sgRNA	CHROM-24h-NIL-LIB-R2_S5_R1_001	CHROM-24h-NIL-SORT-R2_S6_R1_001	CHROM-48h-NIL-LIB-R2_S17_R1_001	CHROM-48h-NIL-SORT-R2_S18_R1_001	R1-DMSO-24h_S5_R1_001	R1-DMSO-48h_S9_R1_001	R1-DMSO-LIB-24h_S4_R1_001	R1-DMSO-LIB-48h_S8_R1_001	R1-NIL-24h_S7_R1_001	R1-NIL-48h_S11_R1_001	R1-NIL-LIB-24h_S6_R1_001	R1-NIL-LIB-48h_S10_R1_001	R2-DMSO-24h_S13_R1_001	R2-DMSO-48h_S17_R1_001	R2-DMSO-LIB-24h_S12_R1_001	R2-DMSO-LIB-48h_S16_R1_001	R2-NIL-24h_S15_R1_001	R2-NIL-48h_S19_R1_001	R2-NIL-LIB-24h_S14_R1_001	R2-NIL-LIB-48h_S18_R1_001
1	*	552490	347922	650641	445142	246929	365784	298097	299385	487097	538099	236860	380603	468819	381231	343325	313845	403674	358788	342431	371174
2	38412_ENSG00000198060_19285.1	995	273	889	146	590	1194	1015	1060	1677	2487	630	1218	1687	1417	1125	926	1821	898	1076	1169
3	38412_ENSG00000198060_19287.3	690	420	866	443	200	887	443	754	1095	1096	235	1173	1611	1244	1118	1008	988	1293	1131	1056
4	38412_ENSG00000198060_19288.4	1597	517	1483	832	1102	2144	1844	1684	2894	1827	1520	2095	2864	2184	1814	1636	2338	1630	1734	1798
5	38412_ENSG00000198060_19289.5	935	417	917	243	1133	1677	1523	1102	1265	1714	914	1534	1935	1349	1270	1151	1683	1733	1175	1145
6	38412_ENSG00000198060_19290.6	1359	1002	1753	1132	1100	2808	1893	1984	1994	2904	1361	2035	3192	2247	2275	1870	2379	1491	1853	2117
7	AC003002.4_ENSG00000268133_199914.1	138	43	146	191	38	203	103	179	212	236	38	240	317	231	313	197	299	753	253	286
8	AC003002.4_ENSG00000268133_199915.2	1559	1474	1272	1084	455	1898	1138	1607	2100	1958	761	1874	2947	2170	2066	1895	3311	1884	2124	1818
9	AC003002.4_ENSG00000268133_199916.3	1958	779	1923	1093	693	2881	1480	2132	2119	774	1022	2592	3824	2976	2621	2409	3935	1357	2292	2494
10	AC003002.4_ENSG00000268133_199917.4	326	408	321	334	122	253	280	320	669	853	106	660	620	414	408	401	580	534	463	554
11	AC003002.4_ENSG00000268133_199919.6	1135	856	1144	861	266	1423	661	1218	1427	1864	426	1675	2450	2041	1718	1561	1778	2690	1563	1781
12	AC003005.4_ENSG00000268107_84113.5	1835	752	2195	1339	1361	3170	2191	2487	2869	1209	1456	2729	4048	2940	2664	2299	2726	1637	2486	2631
13	AC003005.4_ENSG00000268107_84115.7	1038	65	1040	787	526	1248	952	920	2041	2409	745	1339	1763	1138	1233	1026	1619	576	1150	1283
14	AC003005.4_ENSG00000268107_84116.8	617	462	617	502	136	892	322	701	1104	1338	223	718	1213	1070	1000	883	981	426	1061	867
15	AC003005.4_ENSG00000268107_84117.9	1025	922	1111	900	240	1114	728	944	1529	759	464	1764	2091	1251	1426	1206	2326	1997	1238	1580
16	AC003005.4_ENSG00000268107_84118.1	749	420	818	437	406	1298	780	953	1072	584	517	1197	1661	1333	1129	865	958	289	1072	1062
17	AC004076.9_ENSG00000268163_52397.1	850	717	825	449	202	638	492	796	1601	1017	299	1444	1326	945	996	916	2260	1067	1060	1206
18	AC004076.9_ENSG00000268163_52398.2	604	590	651	666	150	927	453	779	1250	491	242	889	1243	1056	922	906	992	528	973	982
19	AC004076.9_ENSG00000268163_52399.3	1716	951	1599	1195	1035	2530	1871	2145	1608	2073	1308	2108	3591	2793	2266	2105	2855	4065	2183	2268
20	AC004076.9_ENSG00000268163_52400.4	436	539	513	153	148	825	350	563	1311	1113	198	707	1060	791	792	611	515	232	612	889
21	AC004076.9_ENSG00000268163_52402.6	711	499	690	212	502	1065	895	747	1344	1116	619	999	1274	1009	997	765	1059	600	818	830
22	ACIN1_ENSG00000100813_113140.1	1662	974	1641	1145	996	2177	1916	1687	2844	1251	1161	2133	2942	2219	1990	1768	4934	1960	1821	1971
23	ACIN1_ENSG00000100813_113141.2	408	284	543	323	189	402	431	500	1074	2035	267	807	705	508	565	444	1047	519	586	684
24	ACIN1_ENSG00000100813_113143.4	1248	913	1396	1443	521	2036	1186	1359	1101	846	704	1877	2919	2102	1731	1741	1866	656	1634	1802
25	ACIN1_ENSG00000100813_113144.5	1862	1328	2006	1189	557	1994	1333	1615	3229	4611	781	2473	3113	2216	2361	1836	3436	1982	2201	2509
26	ACTA1_ENSG00000143632_114150.1	262	5	273	185	28	308	122	308	175	424	69	479	573	447	492	371	537	701	370	474
27	ACTA1_ENSG00000143632_114151.2	566	158	561	442	180	658	512	558	431	538	331	629	943	677	556	607	737	986	555	678
28	ACTA1_ENSG00000143632_114152.3	1461	584	1345	759	735	1759	1426	1367	2688	1532	916	2044	2142	1466	1637	1510	2065	1469	1502	1875
29	ACTA1_ENSG00000143632_114153.4	860	645	814	893	112	609	350	806	1260	2158	213	1173	1359	1155	1146	1078	1583	28	1154	1117
